"samplename"	"platform"	"label"	"obervations"	"batch"	"bigfamily"	"family"	"celltype"	"coarsegrain"	"finegrain"	"treatment"
"SAMN07173079"	"SAMN07173079"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173080"	"SAMN07173080"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173081"	"SAMN07173081"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173082"	"SAMN07173082"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173083"	"SAMN07173083"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173084"	"SAMN07173084"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173085"	"SAMN07173085"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173086"	"SAMN07173086"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173087"	"SAMN07173087"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173093"	"SAMN07173093"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173094"	"SAMN07173094"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173095"	"SAMN07173095"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173096"	"SAMN07173096"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173097"	"SAMN07173097"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173098"	"SAMN07173098"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173099"	"SAMN07173099"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173100"	"SAMN07173100"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173101"	"SAMN07173101"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173102"	"SAMN07173102"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173103"	"SAMN07173103"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173104"	"SAMN07173104"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173105"	"SAMN07173105"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173106"	"SAMN07173106"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173107"	"SAMN07173107"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173108"	"SAMN07173108"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173109"	"SAMN07173109"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173110"	"SAMN07173110"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173111"	"SAMN07173111"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173112"	"SAMN07173112"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Latent tuberculosis infection"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173113"	"SAMN07173113"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173114"	"SAMN07173114"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173115"	"SAMN07173115"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173116"	"SAMN07173116"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173117"	"SAMN07173117"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173118"	"SAMN07173118"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173119"	"SAMN07173119"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173120"	"SAMN07173120"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN07173121"	"SAMN07173121"	"Illumina HiSeq 2500"	"Memory CD3+CD4+ T cells"	"Healthy"	"SRP108135"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SRR6298273"	"SRR6298273"	"Illumina HiSeq 2000"	"Naive B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"naive.B.cells"	"B.cells"	"naive.B.cells"	"no"
"SRR6298274"	"SRR6298274"	"Illumina HiSeq 2000"	"Non-switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298275"	"SRR6298275"	"Illumina HiSeq 2000"	"Exhausted B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"B.cells"	"B.cells"	"other"	"no"
"SRR6298276"	"SRR6298276"	"Illumina HiSeq 2000"	"Switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298277"	"SRR6298277"	"Illumina HiSeq 2000"	"Plasmablasts"	"healthy"	"SRP125125"	"Immune"	"B"	"Plasmablasts"	"B.cells"	"other"	"no"
"SRR6298302"	"SRR6298302"	"Illumina HiSeq 2000"	"Naive B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"naive.B.cells"	"B.cells"	"naive.B.cells"	"no"
"SRR6298303"	"SRR6298303"	"Illumina HiSeq 2000"	"Non-switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298304"	"SRR6298304"	"Illumina HiSeq 2000"	"Exhausted B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"B.cells"	"B.cells"	"other"	"no"
"SRR6298305"	"SRR6298305"	"Illumina HiSeq 2000"	"Switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298306"	"SRR6298306"	"Illumina HiSeq 2000"	"Plasmablasts"	"healthy"	"SRP125125"	"Immune"	"B"	"Plasmablasts"	"B.cells"	"other"	"no"
"SRR6298331"	"SRR6298331"	"Illumina HiSeq 2000"	"Naive B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"naive.B.cells"	"B.cells"	"naive.B.cells"	"no"
"SRR6298332"	"SRR6298332"	"Illumina HiSeq 2000"	"Non-switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298333"	"SRR6298333"	"Illumina HiSeq 2000"	"Exhausted B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"B.cells"	"B.cells"	"other"	"no"
"SRR6298334"	"SRR6298334"	"Illumina HiSeq 2000"	"Switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298335"	"SRR6298335"	"Illumina HiSeq 2000"	"Plasmablasts"	"healthy"	"SRP125125"	"Immune"	"B"	"Plasmablasts"	"B.cells"	"other"	"no"
"SRR6298365"	"SRR6298365"	"Illumina HiSeq 2000"	"Naive B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"naive.B.cells"	"B.cells"	"naive.B.cells"	"no"
"SRR6298366"	"SRR6298366"	"Illumina HiSeq 2000"	"Non-switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298367"	"SRR6298367"	"Illumina HiSeq 2000"	"Exhausted B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"B.cells"	"B.cells"	"other"	"no"
"SRR6298368"	"SRR6298368"	"Illumina HiSeq 2000"	"Switched memory B cells"	"healthy"	"SRP125125"	"Immune"	"B"	"memory.B.cells"	"B.cells"	"memory.B.cells"	"no"
"SRR6298369"	"SRR6298369"	"Illumina HiSeq 2000"	"Plasmablasts"	"healthy"	"SRP125125"	"Immune"	"B"	"Plasmablasts"	"B.cells"	"other"	"no"
"SRR6298265"	"SRR6298265"	"Illumina HiSeq 2000"	"Follicular helper T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298266"	"SRR6298266"	"Illumina HiSeq 2000"	"T regulatory cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"regulatory.T.cells"	"CD4.T.cells"	"regulatory.T.cells"	"no"
"SRR6298267"	"SRR6298267"	"Illumina HiSeq 2000"	"Th1 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298268"	"SRR6298268"	"Illumina HiSeq 2000"	"Th1/Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298269"	"SRR6298269"	"Illumina HiSeq 2000"	"Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298270"	"SRR6298270"	"Illumina HiSeq 2000"	"Th2 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298271"	"SRR6298271"	"Illumina HiSeq 2000"	"Naive CD4 T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SRR6298293"	"SRR6298293"	"Illumina HiSeq 2000"	"Follicular helper T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298294"	"SRR6298294"	"Illumina HiSeq 2000"	"T regulatory cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"regulatory.T.cells"	"CD4.T.cells"	"regulatory.T.cells"	"no"
"SRR6298295"	"SRR6298295"	"Illumina HiSeq 2000"	"Th1 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298296"	"SRR6298296"	"Illumina HiSeq 2000"	"Th1/Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298297"	"SRR6298297"	"Illumina HiSeq 2000"	"Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298298"	"SRR6298298"	"Illumina HiSeq 2000"	"Th2 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298299"	"SRR6298299"	"Illumina HiSeq 2000"	"Naive CD4 T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SRR6298300"	"SRR6298300"	"Illumina HiSeq 2000"	"Terminal effector CD4 T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298322"	"SRR6298322"	"Illumina HiSeq 2000"	"Follicular helper T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298323"	"SRR6298323"	"Illumina HiSeq 2000"	"T regulatory cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"regulatory.T.cells"	"CD4.T.cells"	"regulatory.T.cells"	"no"
"SRR6298324"	"SRR6298324"	"Illumina HiSeq 2000"	"Th1 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298325"	"SRR6298325"	"Illumina HiSeq 2000"	"Th1/Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298326"	"SRR6298326"	"Illumina HiSeq 2000"	"Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298327"	"SRR6298327"	"Illumina HiSeq 2000"	"Th2 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298328"	"SRR6298328"	"Illumina HiSeq 2000"	"Naive CD4 T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SRR6298329"	"SRR6298329"	"Illumina HiSeq 2000"	"Terminal effector CD4 T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298357"	"SRR6298357"	"Illumina HiSeq 2000"	"Follicular helper T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298358"	"SRR6298358"	"Illumina HiSeq 2000"	"T regulatory cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"regulatory.T.cells"	"CD4.T.cells"	"regulatory.T.cells"	"no"
"SRR6298359"	"SRR6298359"	"Illumina HiSeq 2000"	"Th1 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298360"	"SRR6298360"	"Illumina HiSeq 2000"	"Th1/Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298361"	"SRR6298361"	"Illumina HiSeq 2000"	"Th17 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298362"	"SRR6298362"	"Illumina HiSeq 2000"	"Th2 cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"CD4.T.cells"	"CD4.T.cells"	"other"	"no"
"SRR6298363"	"SRR6298363"	"Illumina HiSeq 2000"	"Naive CD4 T cells"	"healthy"	"SRP125125"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SRR6298258"	"SRR6298258"	"Illumina HiSeq 2000"	"naive CD8"	"healthy"	"SRP125125"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SRR6298259"	"SRR6298259"	"Illumina HiSeq 2000"	"memory CD8"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298260"	"SRR6298260"	"Illumina HiSeq 2000"	"memory CD8"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298261"	"SRR6298261"	"Illumina HiSeq 2000"	"Terminal effector CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"CD8.T.cells"	"CD8.T.cells"	"other"	"no"
"SRR6298286"	"SRR6298286"	"Illumina HiSeq 2000"	"Naive CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SRR6298287"	"SRR6298287"	"Illumina HiSeq 2000"	"Central memory CD8 T cell"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298288"	"SRR6298288"	"Illumina HiSeq 2000"	"Effector memory CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298289"	"SRR6298289"	"Illumina HiSeq 2000"	"Terminal effector CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"CD8.T.cells"	"CD8.T.cells"	"other"	"no"
"SRR6298315"	"SRR6298315"	"Illumina HiSeq 2000"	"Naive CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SRR6298316"	"SRR6298316"	"Illumina HiSeq 2000"	"Central memory CD8 T cell"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298317"	"SRR6298317"	"Illumina HiSeq 2000"	"Effector memory CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298318"	"SRR6298318"	"Illumina HiSeq 2000"	"Terminal effector CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"CD8.T.cells"	"CD8.T.cells"	"other"	"no"
"SRR6298344"	"SRR6298344"	"Illumina HiSeq 2000"	"Naive CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"naive.CD8.T.cells"	"CD8.T.cells"	"naive.CD8.T.cells"	"no"
"SRR6298345"	"SRR6298345"	"Illumina HiSeq 2000"	"Central memory CD8 T cell"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298346"	"SRR6298346"	"Illumina HiSeq 2000"	"Effector memory CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"memory.CD8.T.cells"	"CD8.T.cells"	"memory.CD8.T.cells"	"no"
"SRR6298353"	"SRR6298353"	"Illumina HiSeq 2000"	"Terminal effector CD8 T cells"	"healthy"	"SRP125125"	"Immune"	"CD8"	"CD8.T.cells"	"CD8.T.cells"	"other"	"no"
"SRR6298278"	"SRR6298278"	"Illumina HiSeq 2000"	"Classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298279"	"SRR6298279"	"Illumina HiSeq 2000"	"Intermediate monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298280"	"SRR6298280"	"Illumina HiSeq 2000"	"Non classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298283"	"SRR6298283"	"Illumina HiSeq 2000"	"Myeloid dendritic cells"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"myeloid.dendritic.cells"	"monocytic.lineage"	"myeloid.dendritic.cells"	"no"
"SRR6298307"	"SRR6298307"	"Illumina HiSeq 2000"	"Classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298308"	"SRR6298308"	"Illumina HiSeq 2000"	"Intermediate monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298309"	"SRR6298309"	"Illumina HiSeq 2000"	"Non classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298312"	"SRR6298312"	"Illumina HiSeq 2000"	"Myeloid dendritic cells"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"myeloid.dendritic.cells"	"monocytic.lineage"	"myeloid.dendritic.cells"	"no"
"SRR6298336"	"SRR6298336"	"Illumina HiSeq 2000"	"Classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298337"	"SRR6298337"	"Illumina HiSeq 2000"	"Intermediate monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298338"	"SRR6298338"	"Illumina HiSeq 2000"	"Non classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298341"	"SRR6298341"	"Illumina HiSeq 2000"	"Myeloid dendritic cells"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"myeloid.dendritic.cells"	"monocytic.lineage"	"myeloid.dendritic.cells"	"no"
"SRR6298370"	"SRR6298370"	"Illumina HiSeq 2000"	"Classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298371"	"SRR6298371"	"Illumina HiSeq 2000"	"Intermediate monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298372"	"SRR6298372"	"Illumina HiSeq 2000"	"Non classical monocytes"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"monocytes"	"monocytic.lineage"	"monocytes"	"no"
"SRR6298375"	"SRR6298375"	"Illumina HiSeq 2000"	"Myeloid dendritic cells"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"myeloid.dendritic.cells"	"monocytic.lineage"	"myeloid.dendritic.cells"	"no"
"SRR6298284"	"SRR6298284"	"Illumina HiSeq 2000"	"Low-density neutrophils"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"neutrophils"	"neutrophils"	"neutrophils"	"no"
"SRR6298313"	"SRR6298313"	"Illumina HiSeq 2000"	"Low-density neutrophils"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"neutrophils"	"neutrophils"	"neutrophils"	"no"
"SRR6298342"	"SRR6298342"	"Illumina HiSeq 2000"	"Low-density neutrophils"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"neutrophils"	"neutrophils"	"neutrophils"	"no"
"SRR6298376"	"SRR6298376"	"Illumina HiSeq 2000"	"Low-density neutrophils"	"healthy"	"SRP125125"	"Immune"	"Myeloid"	"neutrophils"	"neutrophils"	"neutrophils"	"no"
"SRR6298281"	"SRR6298281"	"Illumina HiSeq 2000"	"Natural killer cells"	"healthy"	"SRP125125"	"Immune"	"NK"	"NK.cells"	"NK.cells"	"NK.cells"	"no"
"SRR6298310"	"SRR6298310"	"Illumina HiSeq 2000"	"Natural killer cells"	"healthy"	"SRP125125"	"Immune"	"NK"	"NK.cells"	"NK.cells"	"NK.cells"	"no"
